model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"Mercedes-Benz 190 SL, 1960",1960,39 200 км,белый,2 625  / год,механическая,задний,Не требует ремонта,2 владельца,1.9 л,105 л.с.,бензиновый ,?,14.5 с,13.0 л,Германия ,S ,171 км/ч,?,22 000 000 
"Suzuki SX4, 2011",2011,169 000 км,серый,2 800  / год,механическая,полный,Не требует ремонта,2 владельца,1.6 л,112 л.с.,бензиновый ,АИ-95 ,11.5 с,6.8 л,Япония ,B ,175 км/ч,Euro 4 ,760 000 
"Mercedes-Benz V-Класс XL 300 d экстра длинный, 2023",2023,50 км,чёрный,17 775  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,237 л.с.,дизельный ,ДТ ,8.5 с,7.2 л,Германия ,M ,214 км/ч,Euro 6 ,44 950 000 
"Mini Countryman Cooper S, 2020",2020,11 000 км,синий,9 600  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,192 л.с.,бензиновый ,АИ-95 ,7.2 с,7.3 л,Великобритания ,B ,222 км/ч,Euro 6 ,3 975 000 
"BMW X6 30d, 2023",2023,43 км,чёрный,42 900  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,286 л.с.,дизельный ,ДТ ,6.1 с,7.9 л,Германия ,E ,233 км/ч,Euro 6 ,15 500 000 
"Nissan Qashqai+2, 2011",2011,251 000 км,серый,4 935  / год,вариатор,полный,Не требует ремонта,2 владельца,2.0 л,141 л.с.,бензиновый ,АИ-95 ,11.7 с,8.2 л,Япония ,C ,180 км/ч,?,1 150 000 
"BMW X5 M50i, 2021",2021,27 000 км,серый,79 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.4 л,530 л.с.,бензиновый ,АИ-95 ,4.3 с,10.7 л,Германия ,E ,250 км/ч,Euro 6 ,8 200 000 
"Mercedes-Benz G-Класс AMG 63 AMG, 2023",2023,39 км,серебристый,263 250  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,585 л.с.,бензиновый ,АИ-98 ,4.5 с,13.3 л,Германия ,J ,220 км/ч,Euro 6 ,32 900 000 
"Porsche Panamera 4, 2023",2023,20 км,серый,52 950  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.9 л,353 л.с.,бензиновый ,АИ-98 ,5.0 с,11.2 л,Германия ,F ,270 км/ч,Euro 6 ,23 200 000 
"Volkswagen Polo, 2020",2020,83 000 км,белый,2 750  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,110 л.с.,бензиновый ,АИ-95 ,11.8 с,6.6 л,Германия ,B ,190 км/ч,Euro 5 ,1 335 000 
"Suzuki SX4, 2011",2011,169 000 км,серый,2 800  / год,механическая,полный,Не требует ремонта,2 владельца,1.6 л,112 л.с.,бензиновый ,АИ-95 ,11.5 с,6.8 л,Япония ,B ,175 км/ч,Euro 4 ,760 000 
"Mercedes-Benz S-Класс 400 d 4MATIC, 2022",2022,9 772 км,чёрный,49 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,330 л.с.,дизельный ,ДТ ,5.4 с,6.9 л,Германия ,F ,250 км/ч,Euro 6 ,14 700 000 
"Geely Coolray, 2021",2021,4 480 км,серый,5 250  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-92 ,8.4 с,6.4 л,Китай ,B ,190 км/ч,Euro 5 ,2 029 000 
"Zeekr 001 100 kWh, 2023",2023,10 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,7 700 000 
"Haval F7, 2021",2021,63 845 км,чёрный,5 250  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,8.2 л,Китай ,C ,180 км/ч,Euro 5 ,1 920 000 
"Mitsubishi Lancer, 2012",2012,200 000 км,белый,2 925  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,117 л.с.,бензиновый ,АИ-95 ,14.1 с,7.1 л,Япония ,C ,180 км/ч,Euro 4 ,680 000 
"Mercedes-Benz V-Класс XL 250 d экстра длинный, 2021",2021,6 800 км,чёрный,9 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.1 л,190 л.с.,дизельный ,ДТ ,9.1 с,6.6 л,Германия ,M ,206 км/ч,Euro 6 ,39 000 000 
"Land Rover Range Rover Evoque, 2019",2019,40 000 км,серебристый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,7.5 с,7.9 л,Великобритания ,C ,230 км/ч,Euro 6 ,4 240 000 
"Voyah Free, 2023",2023,15 071 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,560/1320 л,694 л.с.,Электро ,?,4.7 с,?,Китай ,E ,200 км/ч,?,4 310 000 
"BMW X7 40i, 2019",2019,78 659 км,белый,51 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,бензиновый ,АИ-95 ,6.1 с,9.5 л,Германия ,F ,245 км/ч,Euro 6 ,8 099 000 
"Genesis GV80, 2021",2021,107 629 км,зелёный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,249 л.с.,бензиновый ,АИ-95 ,7.5 с,10.4 л,Южная Корея ,E ,224 км/ч,Euro 5 ,4 990 000 
"Kia Ceed, 2018",2018,95 000 км,белый,4 480  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,128 л.с.,бензиновый ,АИ-92 ,10.5 с,6.8 л,Южная Корея ,C ,195 км/ч,Euro 6 ,1 360 000 
"Zeekr 001 100 kWh, 2023",2023,81 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 800 000 
"Voyah Free, 2023",2023,1 км,зелёный,13 260  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,490 л.с.,гибридный ,АИ-92 ,4.8 с,0.81 л,Китай ,E ,200 км/ч,Euro 6 ,4 990 000 
"Kia Ceed, 2016",2016,119 000 км,серый,4 725  / год,роботизированная,передний,Не требует ремонта,3 или более,1.6 л,135 л.с.,бензиновый ,АИ-95 ,10.8 с,5.9 л,Южная Корея ,C ,195 км/ч,Euro 6 ,1 290 000 
"Toyota Camry, 2008",2008,293 943 км,серебристый,7 515  / год,автоматическая,передний,Не требует ремонта,3 или более,2.4 л,167 л.с.,бензиновый ,АИ-95 ,9.3 с,9.9 л,Япония ,E ,205 км/ч,?,800 000 
"Land Rover Range Rover P530, 2023",2023,18 461 км,серый,79 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.4 л,530 л.с.,бензиновый ,АИ-95 ,4.6 с,11.8 л,Великобритания ,J ,250 км/ч,Euro 6 ,23 685 000 
"Toyota Land Cruiser, 2021",2021,83 000 км,чёрный,44 850  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.4 л,299 л.с.,дизельный ,ДТ ,6.8 с,8.9 л,Япония ,J ,210 км/ч,Euro 6 ,10 490 000 
"BMW X7 40d, 2022",2022,82 833 км,серый,51 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,340 л.с.,дизельный ,ДТ ,6.1 с,6.6 л,Германия ,F ,245 км/ч,Euro 6 ,9 600 000 
"BMW X7 40d, 2023",2023,8 765 км,чёрный,52 800  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,340 л.с.,дизельный ,ДТ ,5.9 с,8.6 л,Германия ,F ,245 км/ч,Euro 6 ,15 900 000 
"EXEED VX, 2022",2022,3 033 км,белый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 799 000 
"Chery Tiggo 8 Pro, 2021",2021,62 062 км,белый,7 650  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,170 л.с.,бензиновый ,АИ-92 ,10.0 с,8.2 л,Китай ,D ,200 км/ч,Euro 6 ,2 024 000 
"EXEED VX, 2022",2022,11 000 км,белый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 623 000 
"Chery Tiggo 8 Pro, 2021",2021,62 062 км,белый,7 650  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,170 л.с.,бензиновый ,АИ-92 ,10.0 с,8.2 л,Китай ,D ,200 км/ч,Euro 6 ,2 024 000 
"EXEED VX, 2022",2022,11 000 км,белый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 623 000 
"Volvo S90, 2021",2021,95 833 км,коричневый,9 500  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,190 л.с.,бензиновый ,АИ-95 ,8.2 с,6.7 л,Швеция ,E ,180 км/ч,Euro 6 ,3 600 000 
"BMW X7 M50d, 2020",2020,56 556 км,чёрный,60 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,400 л.с.,дизельный ,ДТ ,5.4 с,7.5 л,Германия ,F ,250 км/ч,Euro 6 ,11 000 000 
"Ford Mondeo, 2012",2012,307 000 км,чёрный,5 075  / год,механическая,передний,Не требует ремонта,3 или более,2.0 л,145 л.с.,бензиновый ,АИ-95 ,9.9 с,7.9 л,США ,D ,210 км/ч,Euro 5 ,559 000 
"Chevrolet Captiva, 2023",2023,17 719 км,чёрный,5 145  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,147 л.с.,бензиновый ,?,?,7.5 л,США ,D ,?,?,2 550 000 
"Skoda Octavia, 2018",2018,91 000 км,белый,2 750  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,12.2 с,6.7 л,Чехия ,C ,188 км/ч,Euro 5 ,1 555 000 
"Mazda CX-4, 2023",2023,7 300 км,белый,7 110  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,158 л.с.,бензиновый ,АИ-95 ,10.5 с,6.3 л,Япония ,C ,192 км/ч,?,3 099 900 
"Ram 1500 Crew Cab eTorque, 2021",2021,33 000 км,чёрный,?,автоматическая,полный,Не требует ремонта,1 владелец,5.7 л,395 л.с.,бензиновый ,АИ-95 ,6.5 с,12.4 л,США ,J ,206 км/ч,?,6 150 000 
"Lada (ВАЗ) Vesta SW Cross, 2021",2021,45 000 км,белый,2 650  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,12.6 с,7.5 л,Россия ,B ,178 км/ч,Euro 5 ,1 220 000 
"LiXiang L7, 2023",2023,23 км,чёрный,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,6 900 000 
"Chevrolet Cruze, 2013",2013,222 000 км,чёрный,4 935  / год,механическая,передний,Не требует ремонта,1 владелец,1.8 л,141 л.с.,бензиновый ,АИ-95 ,10.0 с,6.8 л,США ,C ,200 км/ч,Euro 5 ,800 000 
"Geely Atlas, 2021",2021,55 000 км,чёрный,5 215  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.4 л,149 л.с.,бензиновый ,АИ-95 ,13.1 с,11.5 л,Китай ,C ,185 км/ч,?,1 549 000 
"Jeep Wrangler, 2019",2019,100 832 км,чёрный,40 800  / год,автоматическая,полный,Не требует ремонта,3 или более,2.0 л,272 л.с.,бензиновый ,АИ-95 ,6.8 с,11.3 л,США ,J ,?,?,3 850 000 
"EXEED TXL, 2022",2022,20 420 км,чёрный,9 850  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,197 л.с.,бензиновый ,АИ-95 ,9.0 с,8.7 л,Китай ,D ,200 км/ч,Euro 6 ,3 049 000 
"Haval F7x, 2020",2020,39 600 км,серый,5 250  / год,роботизированная,полный,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-95 ,9.0 с,8.4 л,Китай ,C ,180 км/ч,Euro 5 ,2 050 000 
"Volkswagen Polo, 2018",2018,165 000 км,чёрный,2 750  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,10.4 с,5.8 л,Германия ,B ,191 км/ч,Euro 5 ,1 045 000 
"Toyota Land Cruiser, 2023",2023,8 021 км,чёрный,44 850  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.4 л,299 л.с.,дизельный ,ДТ ,6.8 с,8.9 л,Япония ,J ,210 км/ч,Euro 6 ,12 000 000 
"Zeekr 001 100 kWh, 2023",2023,15 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 350 000 
"Chevrolet Tahoe, 2016",2016,187 000 км,серый,61 350  / год,автоматическая,полный,Не требует ремонта,3 или более,6.2 л,409 л.с.,бензиновый ,АИ-95 ,6.8 с,13.4 л,США ,J ,180 км/ч,?,3 450 000 
"Nissan X-Trail, 2019",2019,98 109 км,синий,5 040  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,144 л.с.,бензиновый ,АИ-95 ,11.7 с,7.1 л,Япония ,D ,183 км/ч,Euro 6 ,1 935 000 
"Mercedes-Benz V-Класс XL 250 d экстра длинный, 2021",2021,73 000 км,чёрный,9 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.1 л,190 л.с.,дизельный ,ДТ ,9.1 с,6.6 л,Германия ,M ,206 км/ч,Euro 6 ,16 500 000 
"Hyundai Tucson, 2021",2021,33 955 км,чёрный,9 300  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,186 л.с.,дизельный ,ДТ ,9.4 с,6.3 л,Южная Корея ,C ,201 км/ч,Euro 5 ,3 690 000 
"Isuzu Trooper, 2000",2000,178 000 км,зелёный,13 975  / год,автоматическая,полный,Не требует ремонта,3 или более,3.5 л,215 л.с.,бензиновый ,АИ-95 ,9.6 с,16.3 л,Япония ,J ,180 км/ч,?,650 000 
"Mercedes-Benz V-Класс L 250 d длинный, 2016",2016,122 618 км,чёрный,9 500  / год,автоматическая,полный,Не требует ремонта,3 или более,2.1 л,190 л.с.,дизельный ,ДТ ,9.1 с,6.6 л,Германия ,M ,206 км/ч,Euro 6 ,11 990 000 
"Haval F7, 2020",2020,33 872 км,серый,5 250  / год,роботизированная,передний,Не требует ремонта,3 или более,1.5 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,8.2 л,Китай ,C ,180 км/ч,Euro 5 ,1 778 000 
"Mercedes-Benz GL-Класс 320, 2007",2007,281 458 км,чёрный,14 560  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,224 л.с.,дизельный ,ДТ ,9.5 с,9.8 л,Германия ,F ,210 км/ч,Euro 5 ,1 300 000 
"Nissan Qashqai+2, 2011",2011,307 000 км,серый,4 935  / год,вариатор,полный,Не требует ремонта,2 владельца,2.0 л,141 л.с.,бензиновый ,АИ-95 ,11.7 с,8.2 л,Япония ,C ,180 км/ч,?,1 290 000 
"Porsche Cayenne Diesel, 2013",2013,223 200 км,синий,18 375  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,245 л.с.,дизельный ,ДТ ,7.6 с,7.2 л,Германия ,E ,220 км/ч,Euro 5 ,2 550 000 
"Chevrolet Tracker, 2022",2022,55 км,белый,7 425  / год,вариатор,передний,Не требует ремонта,1 владелец,1.3 л,165 л.с.,бензиновый ,АИ-92 ,8.9 с,5.7 л,США ,B ,190 км/ч,?,2 200 000 
"Renault Duster, 2017",2017,123 200 км,белый,5 005  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,143 л.с.,бензиновый ,АИ-95 ,10.3 с,7.8 л,Франция ,B ,180 км/ч,Euro 5 ,1 315 000 
"Chevrolet Cruze, 2013",2013,222 000 км,чёрный,4 935  / год,механическая,передний,Не требует ремонта,1 владелец,1.8 л,141 л.с.,бензиновый ,АИ-95 ,10.0 с,6.8 л,США ,C ,200 км/ч,Euro 5 ,800 000 
"Chevrolet Tracker, 2022",2022,55 км,белый,7 425  / год,вариатор,передний,Не требует ремонта,1 владелец,1.3 л,165 л.с.,бензиновый ,АИ-92 ,8.9 с,5.7 л,США ,B ,190 км/ч,?,2 200 000 
"Acura MDX, 2022",2022,15 000 км,синий,43 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.5 л,290 л.с.,бензиновый ,АИ-95 ,6.8 с,11.2 л,Япония ,E ,?,?,6 875 000 
"LiXiang L7, 2024",2024,10 км,белый,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,7 000 000 
"Porsche Macan S Diesel, 2015",2015,155 000 км,чёрный,18 375  / год,роботизированная,полный,Не требует ремонта,2 владельца,3.0 л,245 л.с.,дизельный ,ДТ ,6.3 с,6.3 л,Германия ,D ,230 км/ч,Euro 6 ,4 000 000 
"Mitsubishi Outlander, 2019",2019,53 106 км,серый,5 110  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-92 ,12.0 с,7.7 л,Япония ,D ,188 км/ч,Euro 5 ,2 742 000 
"Mitsubishi Outlander, 2015",2015,49 900 км,белый,5 110  / год,вариатор,передний,Не требует ремонта,2 владельца,2.0 л,146 л.с.,бензиновый ,АИ-92 ,11.1 с,7.3 л,Япония ,D ,193 км/ч,Euro 4 ,1 540 000 
"Hyundai Creta, 2019",2019,65 000 км,чёрный,3 025  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.6 л,121 л.с.,бензиновый ,АИ-95 ,13.1 с,7.6 л,Южная Корея ,B ,167 км/ч,Euro 6 ,1 800 000 
"Haval F7x, 2021",2021,54 754 км,синий,9 500  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,190 л.с.,бензиновый ,АИ-95 ,?,9.4 л,Китай ,C ,195 км/ч,Euro 5 ,1 849 000 
"Mercedes-Benz GLK-Класс 220 CDI, 2010",2010,192 000 км,белый,7 650  / год,автоматическая,полный,Не требует ремонта,3 или более,2.1 л,170 л.с.,дизельный ,ДТ ,8.8 с,6.9 л,Германия ,D ,205 км/ч,Euro 5 ,1 550 000 
"Citroen Berlingo, 2013",2013,290 000 км,белый,?,механическая,передний,Не требует ремонта,3 или более,1.6 л,110 л.с.,бензиновый ,АИ-95 ,12.0 с,8.4 л,Франция ,?,177 км/ч,Euro 5 ,750 000 
"BMW 4 серии M440i xDrive, 2020",2020,29 800 км,белый,58 050  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,387 л.с.,бензиновый ,АИ-95 ,4.5 с,7.1 л,Германия ,D ,250 км/ч,Euro 6 ,5 740 000 
"Mitsubishi Outlander, 2012",2012,193 500 км,чёрный,7 515  / год,вариатор,полный,Не требует ремонта,3 или более,2.4 л,167 л.с.,бензиновый ,АИ-92 ,10.5 с,7.9 л,Япония ,D ,195 км/ч,Euro 4 ,1 199 000 
"Mitsubishi Outlander, 2012",2012,165 185 км,коричневый,4 998  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,147 л.с.,бензиновый ,АИ-95 ,12.2 с,8.0 л,Япония ,D ,180 км/ч,Euro 4 ,1 350 000 
