model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
Chevrolet,2013,222000.0,чёрный,4935.0,механическая,передний,1 владелец,1.8,141.0,бензиновый ,АИ-95 ,10.0,6.8,США ,C ,200.0,Euro 5 ,800000.0
Geely,2021,55000.0,чёрный,5215.0,автоматическая,полный,1 владелец,2.4,149.0,бензиновый ,АИ-95 ,13.1,11.5,Китай ,C ,185.0,Euro 0,1549000.0
EXEED,2022,20420.0,чёрный,9850.0,роботизированная,полный,1 владелец,2.0,197.0,бензиновый ,АИ-95 ,9.0,8.7,Китай ,D ,200.0,Euro 6 ,3049000.0
Haval,2020,39600.0,серый,5250.0,роботизированная,полный,1 владелец,1.5,150.0,бензиновый ,АИ-95 ,9.0,8.4,Китай ,C ,180.0,Euro 5 ,2050000.0
Volkswagen,2018,165000.0,чёрный,2750.0,механическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,10.4,5.8,Германия ,B ,191.0,Euro 5 ,1045000.0
Toyota,2023,8021.0,чёрный,44850.0,автоматическая,полный,1 владелец,3.4,299.0,дизельный ,ДТ ,6.8,8.9,Япония ,J ,210.0,Euro 6 ,12000000.0
Chevrolet,2016,187000.0,серый,61350.0,автоматическая,полный,3 или более,6.2,409.0,бензиновый ,АИ-95 ,6.8,13.4,США ,J ,180.0,Euro 0,3450000.0
Nissan,2019,98109.0,синий,5040.0,вариатор,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,11.7,7.1,Япония ,D ,183.0,Euro 6 ,1935000.0
Mercedes-Benz,2021,73000.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,16500000.0
Hyundai,2021,33955.0,чёрный,9300.0,автоматическая,полный,1 владелец,2.0,186.0,дизельный ,ДТ ,9.4,6.3,Южная Корея ,C ,201.0,Euro 5 ,3690000.0
Isuzu,2000,178000.0,зелёный,13975.0,автоматическая,полный,3 или более,3.5,215.0,бензиновый ,АИ-95 ,9.6,16.3,Япония ,J ,180.0,Euro 0,650000.0
Mercedes-Benz,2016,122618.0,чёрный,9500.0,автоматическая,полный,3 или более,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,11990000.0
Haval,2020,33872.0,серый,5250.0,роботизированная,передний,3 или более,1.5,150.0,бензиновый ,АИ-95 ,11.0,8.2,Китай ,C ,180.0,Euro 5 ,1778000.0
Mercedes-Benz,2007,281458.0,чёрный,14560.0,автоматическая,полный,3 или более,3.0,224.0,дизельный ,ДТ ,9.5,9.8,Германия ,F ,210.0,Euro 5 ,1300000.0
Nissan,2011,307000.0,серый,4935.0,вариатор,полный,2 владельца,2.0,141.0,бензиновый ,АИ-95 ,11.7,8.2,Япония ,C ,180.0,Euro 0,1290000.0
Porsche,2013,223200.0,синий,18375.0,автоматическая,полный,2 владельца,3.0,245.0,дизельный ,ДТ ,7.6,7.2,Германия ,E ,220.0,Euro 5 ,2550000.0
Chevrolet,2022,55.0,белый,7425.0,вариатор,передний,1 владелец,1.3,165.0,бензиновый ,АИ-92 ,8.9,5.7,США ,B ,190.0,Euro 0,2200000.0
Renault,2017,123200.0,белый,5005.0,механическая,полный,1 владелец,2.0,143.0,бензиновый ,АИ-95 ,10.3,7.8,Франция ,B ,180.0,Euro 5 ,1315000.0
Chevrolet,2013,222000.0,чёрный,4935.0,механическая,передний,1 владелец,1.8,141.0,бензиновый ,АИ-95 ,10.0,6.8,США ,C ,200.0,Euro 5 ,800000.0
Chevrolet,2022,55.0,белый,7425.0,вариатор,передний,1 владелец,1.3,165.0,бензиновый ,АИ-92 ,8.9,5.7,США ,B ,190.0,Euro 0,2200000.0
LiXiang,2024,10.0,белый,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,7000000.0
Porsche,2015,155000.0,чёрный,18375.0,роботизированная,полный,2 владельца,3.0,245.0,дизельный ,ДТ ,6.3,6.3,Германия ,D ,230.0,Euro 6 ,4000000.0
Mitsubishi,2019,53106.0,серый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2742000.0
Mitsubishi,2015,49900.0,белый,5110.0,вариатор,передний,2 владельца,2.0,146.0,бензиновый ,АИ-92 ,11.1,7.3,Япония ,D ,193.0,Euro 4 ,1540000.0
Hyundai,2019,65000.0,чёрный,3025.0,автоматическая,полный,1 владелец,1.6,121.0,бензиновый ,АИ-95 ,13.1,7.6,Южная Корея ,B ,167.0,Euro 6 ,1800000.0
Mercedes-Benz,2010,192000.0,белый,7650.0,автоматическая,полный,3 или более,2.1,170.0,дизельный ,ДТ ,8.8,6.9,Германия ,D ,205.0,Euro 5 ,1550000.0
BMW,2020,29800.0,белый,58050.0,автоматическая,полный,1 владелец,3.0,387.0,бензиновый ,АИ-95 ,4.5,7.1,Германия ,D ,250.0,Euro 6 ,5740000.0
Mitsubishi,2012,193500.0,чёрный,7515.0,вариатор,полный,3 или более,2.4,167.0,бензиновый ,АИ-92 ,10.5,7.9,Япония ,D ,195.0,Euro 4 ,1199000.0
Mitsubishi,2012,165185.0,коричневый,4998.0,вариатор,передний,1 владелец,2.0,147.0,бензиновый ,АИ-95 ,12.2,8.0,Япония ,D ,180.0,Euro 4 ,1350000.0
Mitsubishi,2016,47649.0,серебристый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,11.7,7.6,Япония ,D ,188.0,Euro 4 ,2079000.0
Mitsubishi,2016,79027.0,серый,7515.0,вариатор,полный,1 владелец,2.4,167.0,бензиновый ,АИ-92 ,10.2,7.7,Япония ,D ,198.0,Euro 4 ,2250000.0
Ford,2017,256385.0,белый,2625.0,механическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,12.5,6.0,США ,C ,180.0,Euro 5 ,650000.0
Mitsubishi,2021,38170.0,чёрный,4964.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,3100000.0
Mitsubishi,2013,202281.0,чёрный,7515.0,вариатор,полный,1 владелец,2.4,167.0,бензиновый ,АИ-92 ,10.5,7.9,Япония ,D ,195.0,Euro 4 ,1480000.0
BMW,2021,68200.0,синий,18675.0,автоматическая,полный,3 или более,3.0,249.0,дизельный ,ДТ ,6.5,6.6,Германия ,E ,230.0,Euro 6 ,9600000.0
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.6,6.5,Германия ,M ,214.0,Euro 6 ,44600000.0
Toyota,2007,196000.0,чёрный,6840.0,автоматическая,полный,3 или более,2.0,152.0,бензиновый ,АИ-95 ,12.0,8.6,Япония ,C ,175.0,Euro 0,1100000.0
Volkswagen,2010,91000.0,чёрный,7650.0,автоматическая,полный,2 владельца,2.0,170.0,бензиновый ,АИ-95 ,9.9,9.9,Германия ,C ,197.0,Euro 0,1300000.0
Mitsubishi,2019,53337.0,коричневый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2500000.0
BMW,2019,98800.0,голубой,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,6.7,6.0,Германия ,E ,230.0,Euro 6 ,5700000.0
Land,2021,26492.0,зелёный,84750.0,автоматическая,полный,1 владелец,5.0,565.0,бензиновый ,АИ-95 ,5.4,12.8,Великобритания ,J ,225.0,Euro 6 ,26316000.0
Volvo,2006,314000.0,чёрный,17850.0,автоматическая,полный,3 или более,3.2,238.0,бензиновый ,АИ-95 ,8.2,10.7,Швеция ,E ,235.0,Euro 0,749000.0
Chevrolet,2007,85000.0,красный,960.0,механическая,полный,1 владелец,1.7,80.0,бензиновый ,АИ-95 ,19.0,10.8,США ,J ,140.0,Euro 0,440000.0
Volvo,2020,9700.0,синий,18675.0,автоматическая,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,6.8,7.2,Швеция ,D ,220.0,Euro 6 ,4380000.0
Ford,2005,110000.0,белый,1080.0,механическая,передний,3 или более,1.8,90.0,дизельный ,ДТ ,15.2,6.5,США ,M ,155.0,Euro 0,499999.0
Mitsubishi,2019,53337.0,коричневый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2500000.0
Nissan,2015,150000.0,чёрный,5040.0,вариатор,полный,2 владельца,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 5 ,1000000.0
BMW,2019,98800.0,голубой,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,6.7,6.0,Германия ,E ,230.0,Euro 6 ,5700000.0
Land,2021,26492.0,зелёный,84750.0,автоматическая,полный,1 владелец,5.0,565.0,бензиновый ,АИ-95 ,5.4,12.8,Великобритания ,J ,225.0,Euro 6 ,26316000.0
Kia,2018,80000.0,чёрный,9250.0,автоматическая,полный,1 владелец,2.0,185.0,дизельный ,ДТ ,9.5,6.3,Южная Корея ,C ,201.0,Euro 6 ,1999000.0
Kia,2019,56298.0,синий,5250.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.2,8.0,Южная Корея ,B ,186.0,Euro 5 ,1960000.0
BMW,2020,22748.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,дизельный ,ДТ ,5.5,6.2,Германия ,E ,245.0,Euro 6 ,10700000.0
Geely,2022,1264.0,серый,17850.0,автоматическая,полный,1 владелец,2.0,238.0,бензиновый ,АИ-95 ,6.9,8.1,Китай ,C ,210.0,Euro 5 ,3795000.0
Mazda,2007,110000.0,чёрный,2625.0,автоматическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,12.6,7.6,Япония ,C ,174.0,Euro 0,570000.0
Mitsubishi,2013,149500.0,чёрный,5250.0,вариатор,полный,2 владельца,2.0,150.0,бензиновый ,АИ-92 ,11.9,8.1,Япония ,C ,188.0,Euro 4 ,1410600.0
Audi,2013,105600.0,белый,3050.0,роботизированная,передний,1 владелец,1.4,122.0,бензиновый ,АИ-95 ,9.3,5.0,Германия ,C ,203.0,Euro 5 ,1299900.0
Kia,2021,61191.0,серый,3075.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.6,6.8,Южная Корея ,B ,182.0,Euro 5 ,1702000.0
BMW,2014,191500.0,чёрный,9500.0,автоматическая,задний,3 или более,2.0,190.0,дизельный ,ДТ ,7.7,4.1,Германия ,E ,233.0,Euro 6 ,1889000.0
Nissan,2020,29000.0,серый,5040.0,механическая,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,9.9,7.7,Япония ,C ,194.0,Euro 5 ,2400000.0
Lada,2021,97850.0,серый,1080.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-92 ,14.0,7.5,Россия ,C ,160.0,Euro 5 ,1265000.0
Mercedes-Benz,2019,113000.0,чёрный,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,5.7,7.5,Германия ,E ,245.0,Euro 6 ,6986000.0
Land,2015,196000.0,серый,18000.0,автоматическая,полный,3 или более,2.0,240.0,бензиновый ,АИ-95 ,8.2,8.0,Великобритания ,D ,200.0,Euro 5 ,2150000.0
Ford,2012,250000.0,чёрный,7245.0,автоматическая,передний,3 или более,2.3,161.0,бензиновый ,АИ-95 ,10.5,7.7,США ,D ,207.0,Euro 4 ,850000.0
BMW,2018,233909.0,чёрный,18675.0,автоматическая,полный,2 владельца,2.0,249.0,бензиновый ,АИ-95 ,6.0,6.7,Германия ,E ,250.0,Euro 6 ,3100000.0
EXEED,2022,40634.0,серый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3560000.0
BMW,2020,88240.0,белый,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,5.4,5.4,Германия ,E ,250.0,Euro 6 ,6790000.0
EXEED,2022,43181.0,серый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3600000.0
EXEED,2022,31567.0,фиолетовый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3769000.0
Mazda,2017,88295.0,коричневый,9700.0,автоматическая,полный,1 владелец,2.5,194.0,бензиновый ,АИ-95 ,9.0,7.4,Япония ,C ,195.0,Euro 0,2495000.0
Nissan,2018,65624.0,серебристый,5040.0,вариатор,передний,3 или более,2.0,144.0,бензиновый ,АИ-95 ,11.7,7.1,Япония ,D ,183.0,Euro 6 ,1860000.0
Mitsubishi,2006,196000.0,серый,1176.0,механическая,передний,3 или более,1.6,98.0,бензиновый ,АИ-95 ,11.8,6.7,Япония ,C ,183.0,Euro 0,320000.0
Nissan,2021,45335.0,серый,5040.0,вариатор,полный,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 6 ,2825000.0
Nissan,2018,71529.0,чёрный,5040.0,вариатор,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,11.7,7.1,Япония ,D ,183.0,Euro 5 ,2114000.0
Nissan,2017,58815.0,синий,5040.0,вариатор,полный,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 5 ,2117000.0
Volvo,2020,9700.0,синий,18675.0,автоматическая,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,6.8,7.2,Швеция ,D ,220.0,Euro 6 ,4380000.0
Ford,2005,110000.0,белый,1080.0,механическая,передний,3 или более,1.8,90.0,дизельный ,ДТ ,15.2,6.5,США ,M ,155.0,Euro 0,499999.0
Chery,2021,35000.0,серый,2825.0,вариатор,передний,1 владелец,1.5,113.0,бензиновый ,АИ-92 ,14.6,7.5,Китай ,B ,165.0,Euro 5 ,1499000.0
Nissan,2015,150000.0,чёрный,5040.0,вариатор,полный,2 владельца,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 5 ,1000000.0
Nissan,2008,186607.0,золотистый,4935.0,вариатор,полный,3 или более,2.0,141.0,бензиновый ,АИ-95 ,11.9,8.5,Япония ,D ,172.0,Euro 0,919000.0
Nissan,2019,151482.0,белый,5040.0,вариатор,полный,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 6 ,1917000.0
Kia,2021,28124.0,серый,4480.0,автоматическая,передний,1 владелец,1.6,128.0,бензиновый ,АИ-92 ,11.8,7.2,Южная Корея ,C ,192.0,Euro 6 ,2350000.0
Mercedes-Benz,2021,7668.0,чёрный,55050.0,автоматическая,полный,1 владелец,3.0,367.0,бензиновый ,АИ-95 ,5.1,8.4,Германия ,F ,250.0,Euro 6 ,14600000.0
Kia,2011,153227.0,серебристый,3050.0,автоматическая,передний,3 или более,1.6,122.0,бензиновый ,АИ-95 ,11.9,6.6,Южная Корея ,C ,187.0,Euro 0,750000.0
